track_id,timestamp_ms,x,y,agent_type
1,0.0,31.3787,24.6648,motorcycle
2,0.0,30.4623,23.4049,motorcycle
3,0.0,50.1503,24.331,bus
4,0.0,48.2911,19.9935,motorcycle
5,0.0,17.3925,24.0318,car
7,0.0,46.926,14.862,car
8,0.0,43.506,7.5177,car
1,100.10010010010012,31.0296,24.7673,motorcycle
2,100.10010010010012,29.9829,23.5316,motorcycle
3,100.10010010010012,50.1503,24.331,bus
4,100.10010010010012,47.4972,20.0264,motorcycle
5,100.10010010010012,17.8536,23.4143,car
7,100.10010010010012,47.7859,14.8814,car
8,100.10010010010012,43.506,7.5177,car
1,200.2002002002002,30.6853,24.8656,motorcycle
2,200.2002002002002,29.5141,23.6574,motorcycle
3,200.2002002002002,50.1503,24.331,bus
4,200.2002002002002,46.7131,20.0461,motorcycle
5,200.2002002002002,18.3299,22.8062,car
6,200.2002002002002,11.4807,37.9797,car
7,200.2002002002002,48.6543,14.8978,car
8,200.2002002002002,43.506,7.5177,car
1,300.3003003003003,30.3448,24.9585,motorcycle
2,300.3003003003003,29.0586,23.7825,motorcycle
3,300.3003003003003,50.1503,24.331,bus
4,300.3003003003003,45.9386,20.0662,motorcycle
5,300.3003003003003,18.8509,22.2177,car
6,300.3003003003003,11.5125,37.2776,car
7,300.3003003003003,49.5289,14.9148,car
8,300.3003003003003,43.506,7.5177,car
1,400.4004004004004,30.0119,25.0461,motorcycle
2,400.4004004004004,28.6112,23.9082,motorcycle
3,400.4004004004004,50.1503,24.331,bus
4,400.4004004004004,45.1777,20.0858,motorcycle
5,400.4004004004004,19.4143,21.6825,car
6,400.4004004004004,11.5399,36.5865,car
7,400.4004004004004,50.4094,14.9335,car
8,400.4004004004004,43.506,7.5177,car
1,500.5005005005005,29.6914,25.1287,motorcycle
2,500.5005005005005,28.1738,24.0495,motorcycle
3,500.5005005005005,50.1503,24.331,bus
4,500.5005005005005,44.4308,20.1063,motorcycle
5,500.5005005005005,19.9906,21.1685,car
6,500.5005005005005,11.5691,35.9051,car
7,500.5005005005005,51.2954,14.9532,car
8,500.5005005005005,43.506,7.5177,car
1,600.6006006006006,29.3889,25.2057,motorcycle
2,600.6006006006006,27.7342,24.1882,motorcycle
3,600.6006006006006,50.1503,24.331,bus
4,600.6006006006006,43.6991,20.1267,motorcycle
5,600.6006006006006,20.5821,20.683,car
6,600.6006006006006,11.6033,35.2363,car
7,600.6006006006006,52.1871,14.9725,car
8,600.6006006006006,43.506,7.5177,car
1,700.7007007007007,29.1112,25.2763,motorcycle
2,700.7007007007007,27.2944,24.3236,motorcycle
3,700.7007007007007,50.1503,24.331,bus
4,700.7007007007007,42.9847,20.1467,motorcycle
5,700.7007007007007,21.1814,20.21,car
6,700.7007007007007,11.6431,34.5773,car
7,700.7007007007007,53.0805,14.9914,car
8,700.7007007007007,43.506,7.5177,car
